trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
56,True,"{'a': 0.0, 'e': 0.0}",20,4,25.28809212436738,"{0: 16, 1: 0, 2: 0, 3: 0, 4: 0}",1
57,True,"{'a': 0.0, 'e': 0.0}",20,1,29.52706621491689,"{0: 19, 1: 0, 2: 0, 3: 0, 4: 0}",1
58,True,"{'a': 0.0, 'e': 0.0}",20,8,23.26326063074548,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
59,True,"{'a': 0.0, 'e': 0.0}",20,13,13.66495193413534,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
60,True,"{'a': 0.0, 'e': 0.0}",20,9,21.941653790286345,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
61,True,"{'a': 0.0, 'e': 0.0}",25,20,11.5168503897049,"{0: 5, 1: 0, 2: 0, 3: 0, 4: 0}",1
62,True,"{'a': 0.0, 'e': 0.0}",25,0,39.75930594520925,"{0: 25, 1: 0, 2: 0, 3: 0, 4: 0}",0
63,True,"{'a': 0.0, 'e': 0.0}",25,13,20.879181556732966,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
64,True,"{'a': 0.0, 'e': 0.0}",20,5,27.935437095935903,"{0: 15, 1: 0, 2: 0, 3: 0, 4: 0}",1
65,True,"{'a': 0.0, 'e': 0.0}",20,10,14.872177078863972,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
66,True,"{'a': 0.0, 'e': 0.0}",20,7,27.02288120008312,"{0: 13, 1: 0, 2: 0, 3: 0, 4: 0}",1
67,True,"{'a': 0.0, 'e': 0.0}",20,12,14.13626308151774,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
68,True,"{'a': 0.0, 'e': 0.0}",20,5,28.047192150764694,"{0: 15, 1: 0, 2: 0, 3: 0, 4: 0}",1
69,True,"{'a': 0.0, 'e': 0.0}",30,20,18.930539295944982,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
70,True,"{'a': 0.0, 'e': 0.0}",20,13,15.438379875639063,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
71,True,"{'a': 0.0, 'e': 0.0}",20,8,21.384483870623498,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
72,True,"{'a': 0.0, 'e': 0.0}",20,13,11.844141912937745,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
73,True,"{'a': 0.0, 'e': 0.0}",30,21,21.67433956285936,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 0}",1
74,True,"{'a': 0.0, 'e': 0.0}",20,11,15.316461792392293,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 0}",1
75,True,"{'a': 0.0, 'e': 0.0}",20,15,8.15598753569043,"{0: 5, 1: 0, 2: 0, 3: 0, 4: 0}",1
76,True,"{'a': 0.0, 'e': 0.0}",20,16,7.980035466585321,"{0: 4, 1: 0, 2: 0, 3: 0, 4: 0}",1
77,True,"{'a': 0.0, 'e': 0.0}",25,2,40.543573092669504,"{0: 23, 1: 0, 2: 0, 3: 0, 4: 0}",1
78,True,"{'a': 0.0, 'e': 0.0}",20,16,8.163951938811488,"{0: 4, 1: 0, 2: 0, 3: 0, 4: 0}",1
79,True,"{'a': 0.0, 'e': 0.0}",20,5,27.32919845320906,"{0: 15, 1: 0, 2: 0, 3: 0, 4: 0}",1
